食品群,食品番号,索引番号,食品名　100gあたり栄養素,エネルギー kcal,たんぱく質 g,脂質 g,炭水化物 g,食塩相当量 g
11,11276,1773,＜畜肉類＞　ぶた　［大型種肉］　ロース　脂身つき　とんかつ,429,22.0,35.9,9.8,0.3
11,11126,1774,＜畜肉類＞　ぶた　［大型種肉］　ロース　皮下脂肪なし　生,190,21.1,11.9,0.3,0.1
11,11127,1775,＜畜肉類＞　ぶた　［大型種肉］　ロース　赤肉　生,140,22.7,5.6,0.3,0.1
11,11128,1776,＜畜肉類＞　ぶた　［大型種肉］　ロース　脂身　生,695,5.1,76.3,0,0
11,11129,1777,＜畜肉類＞　ぶた　［大型種肉］　ばら　脂身つき　生,366,14.4,35.4,0.1,0.1
11,11277,1778,＜畜肉類＞　ぶた　［大型種肉］　ばら　脂身つき　焼き,444,19.6,43.9,0.1,0.1
11,11130,1779,＜畜肉類＞　ぶた　［大型種肉］　もも　脂身つき　生,171,20.5,10.2,0.2,0.1
11,11131,1780,＜畜肉類＞　ぶた　［大型種肉］　もも　皮下脂肪なし　生,138,21.5,6.0,0.2,0.1
11,11133,1781,＜畜肉類＞　ぶた　［大型種肉］　もも　皮下脂肪なし　ゆで,185,28.9,8.1,0.3,0.1
11,11132,1782,＜畜肉類＞　ぶた　［大型種肉］　もも　皮下脂肪なし　焼き,186,30.2,7.6,0.3,0.1
11,11134,1783,＜畜肉類＞　ぶた　［大型種肉］　もも　赤肉　生,119,22.1,3.6,0.2,0.1
11,11135,1784,＜畜肉類＞　ぶた　［大型種肉］　もも　脂身　生,611,6.5,67.6,0,0.1
11,11136,1785,＜畜肉類＞　ぶた　［大型種肉］　そともも　脂身つき　生,221,18.8,16.5,0.2,0.1
11,11137,1786,＜畜肉類＞　ぶた　［大型種肉］　そともも　皮下脂肪なし　生,175,20.2,10.7,0.2,0.1
11,11138,1787,＜畜肉類＞　ぶた　［大型種肉］　そともも　赤肉　生,133,21.4,5.5,0.2,0.1
11,11139,1788,＜畜肉類＞　ぶた　［大型種肉］　そともも　脂身　生,631,6.6,68.1,0,0.1
11,11140,1789,＜畜肉類＞　ぶた　［大型種肉］　ヒレ　赤肉　生,118,22.2,3.7,0.3,0.1
11,11278,1790,＜畜肉類＞　ぶた　［大型種肉］　ヒレ　赤肉　焼き,202,39.3,5.9,0.4,0.2
11,11279,1791,＜畜肉類＞　ぶた　［大型種肉］　ヒレ　赤肉　とんかつ,379,25.1,25.3,14.9,0.4
11,11141,1792,＜畜肉類＞　ぶた　［中型種肉］　かた　脂身つき　生,224,18.3,17.2,0,0.1
11,11142,1793,＜畜肉類＞　ぶた　［中型種肉］　かた　皮下脂肪なし　生,172,19.7,10.8,0,0.1
11,11143,1794,＜畜肉類＞　ぶた　［中型種肉］　かた　赤肉　生,113,21.4,3.5,0,0.2
11,11144,1795,＜畜肉類＞　ぶた　［中型種肉］　かた　脂身　生,698,4.9,75.7,0,0.1
11,11145,1796,＜畜肉類＞　ぶた　［中型種肉］　かたロース　脂身つき　生,241,17.7,19.3,0,0.1
11,11146,1797,＜畜肉類＞　ぶた　［中型種肉］　かたロース　皮下脂肪なし　生,212,18.5,15.7,0,0.1
11,11147,1798,＜畜肉類＞　ぶた　［中型種肉］　かたロース　赤肉　生,140,20.6,6.8,0,0.2
11,11148,1799,＜畜肉類＞　ぶた　［中型種肉］　かたロース　脂身　生,663,5.4,71.9,0,0.1
11,11149,1800,＜畜肉類＞　ぶた　［中型種肉］　ロース　脂身つき　生,275,18.3,22.6,0.2,0.1
11,11150,1801,＜畜肉類＞　ぶた　［中型種肉］　ロース　皮下脂肪なし　生,203,20.6,13.6,0.2,0.1
11,11151,1802,＜畜肉類＞　ぶた　［中型種肉］　ロース　赤肉　生,131,22.9,4.6,0.2,0.1
11,11152,1803,＜畜肉類＞　ぶた　［中型種肉］　ロース　脂身　生,716,4.1,78.3,0,0
11,11153,1804,＜畜肉類＞　ぶた　［中型種肉］　ばら　脂身つき　生,398,13.4,40.1,0,0.1
11,11154,1805,＜畜肉類＞　ぶた　［中型種肉］　もも　脂身つき　生,211,19.5,15.1,0.2,0.1
11,11155,1806,＜畜肉類＞　ぶた　［中型種肉］　もも　皮下脂肪なし　生,153,21.3,7.8,0.2,0.1
11,11156,1807,＜畜肉類＞　ぶた　［中型種肉］　もも　赤肉　生,133,21.9,5.3,0.2,0.1
11,11157,1808,＜畜肉類＞　ぶた　［中型種肉］　もも　脂身　生,672,5.2,73.8,0,0
11,11158,1809,＜畜肉類＞　ぶた　［中型種肉］　そともも　脂身つき　生,252,18.0,20.3,0.2,0.1
11,11159,1810,＜畜肉類＞　ぶた　［中型種肉］　そともも　皮下脂肪なし　生,159,21.0,8.5,0.2,0.1
11,11160,1811,＜畜肉類＞　ぶた　［中型種肉］　そともも　赤肉　生,129,21.9,4.8,0.2,0.1
11,11161,1812,＜畜肉類＞　ぶた　［中型種肉］　そともも　脂身　生,660,4.9,72.5,0,0.1
